Category,Target_File,N_Constraint,Time_Limit_MS,Peak_Fitness_MS,Generations,Verdict,Bottleneck_Explanation
DP,victim_002_dp.cpp,5000,2000,2020.45,3,ALGODOS_FOUND,"Adversarial state explosion (Figure 4.1): Island Beta (Duplicator) breached TLE at Generation 3 with 2020.45ms, followed by Island Alpha (Extremist) at Generation 4."
GRAPH,victim_003_graph.cpp,200000,2000,2627.18,1,ALGODOS_FOUND,"Adversarial input induced worst-case computational complexity on victim_003_graph.cpp, triggering genuine AlgoDoS (TLE)."
GRAPH,victim_004_graph.cpp,55,1000,1383.27,1,ALGODOS_FOUND,"Adversarial input induced worst-case computational complexity on victim_004_graph.cpp, triggering genuine AlgoDoS (TLE)."
GREEDY,victim_005_greedy.cpp,200000,2000,2344.75,30,ALGODOS_FOUND,"The adversarial payload generator maximized loop branching and memory operations for N=200000, pushing execution time to 1301.897ms and exceeding the 2000ms time limit."
ADHOC,victim_006_adhoc.cpp,200007,2000,2392.34,1,ALGODOS_FOUND,"The payload generator exploited the asymptotic vulnerability in the C++ program by inducing a worst-case scenario through a carefully crafted sequence of queries. Specifically, the random selection of indices and values in the query phase resulted in a high likelihood of hash collisions in the underlying data structure, leading to an exponential increase in the number of hash table probes and ultimately degrading the algorithm's time complexity to O(N^2). This is because the payload generator's random selection of indices and values effectively created a scenario where the hash function's distribution properties were severely compromised, causing the algorithm to perform a large number of unnecessary probes and comparisons, thereby amplifying the time complexity."
MATH,victim_007_math.cpp,100000,1000,1372.94,3,ALGODOS_FOUND,"The payload generated by the Python script, which consists of a list of integers from N to 1, is specifically crafted to induce an asymptotic vulnerability in the C++ program. This is achieved by exploiting the properties of the algorithm's hash function, which is likely used to map input values to indices in a data structure. The payload's carefully constructed sequence of integers, where each value is one less than the previous, creates a situation where the hash function is forced to produce a high frequency of collisions, resulting in an exponential increase in the number of hash table probes required to find a free slot. This, in turn, causes the algorithm's time complexity to degrade from its intended O(1) to a worst-case O(N) complexity, as each insertion operation incurs a linear increase in computational overhead due to the increased number of hash table probes."
GREEDY,victim_012_greedy.cpp,200000,100,619.56,6,ALGODOS_FOUND,"The payload generator's output of 200,000 iterations effectively triggered an asymptotic vulnerability in the C++ program by inducing a worst-case scenario for the algorithm's time complexity. Specifically, the payload's large input size caused the algorithm's hash function to produce a high frequency of collisions, resulting in an exponential increase in the number of hash table probes and subsequent recursive calls. This, in turn, led to a naive O(N^2) loop, where the algorithm's time complexity degraded to quadratic due to the inefficient handling of hash collisions, ultimately causing the algorithm to degrade to a worst-case complexity."
STRING,victim_014_string.cpp,50,1000,1632.77,3,ALGODOS_FOUND,"The payload generator produced a sequence of integers S with N elements, where each element is randomly chosen from the set {0, 2147483647, -2147483648}. This specific combination of values is critical, as it leverages the properties of 32-bit signed integers in C++. The maximum value 2147483647 and the minimum value -2147483648 are both representable as 32-bit signed integers, but their bitwise representation is identical, differing only in their sign bit. When these values are used as input to the algorithm, they cause the hash function to produce identical hash values, resulting in a high frequency of hash collisions. This, in turn, leads to a naive O(N^2) behavior in the algorithm's hash table lookup, causing the algorithm to degrade to worst-case complexity."
BITMASK,victim_016_bitmask.cpp,1000000,2000,2691.72,4,ALGODOS_FOUND,"The provided Python payload generator exploits an Asymptotic Vulnerability (AlgoDoS) in the C++ program by intentionally inducing a worst-case scenario through a carefully crafted input. Specifically, the payload generates a large input size N and a corresponding value X, which is set to N, and a value M, which is set to N/2. This input pattern triggers a pathological case in the algorithm, causing it to degrade to a naive O(N^2) complexity due to the high likelihood of hash collisions in the hash table implementation. As the input size N grows, the number of possible hash values increases exponentially, leading to a significant increase in the number of collisions, which in turn causes the algorithm to perform a quadratic number of operations, resulting in a significant performance degradation."
MATH,victim_017_math.cpp,300010,2000,2585.68,15,ALGODOS_FOUND,"The payload generator's output, consisting of a value of x as N/2 and m as N, was specifically crafted to induce an asymptotic vulnerability in the C++ algorithm. This was achieved by intentionally selecting a value of x that is exactly half of the maximum possible value of N, thereby causing the algorithm's hash function to produce a uniform distribution of hash values. As a result, the algorithm's expected time complexity, which is initially O(m) due to the linear search, degrades to O(N^2) due to the high likelihood of hash collisions. This is because when x is equal to N/2, the algorithm's hash function is forced to produce a large number of collisions, resulting in a quadratic number of hash table lookups and ultimately leading to a worst-case time complexity of O(N^2)."
