Category,Target_File,N_Constraint,Direct_Tokens_Needed,Input_Prompt_Tokens,Output_Tokens_Generated,Context_Truncated,Time_Limit_MS,Measured_CPU_MS,Status,Exploit_Or_Failure_Analysis
DYNAMIC PROGRAMMING,victim_002_dp.cpp,100000,124646,224,42,False,2000.0,2020.45,TLE_ACHIEVED,"Zero-shot prompt provided scalar N=45 for unmemoized Fibonacci recursion, triggering O(2^N) state explosion."
GRAPH THEORY,victim_003_graph.cpp,200000,252996,291,4076,True,2000.0,9.624,EXPLOIT_FAILED,"Context Window Exhausted: Target required 252,996 direct tokens for N=200,000, but output truncated at 4,076 tokens (~3,223 integers). Premature EOF caused exit in 9.624ms."
GRAPH THEORY,victim_004_graph.cpp,55,135,252,68,False,1000.0,12.983,EXPLOIT_FAILED,Uniform random distribution failed to trigger algorithmic worst-case (12.983ms < 1000.0ms).
GREEDY,victim_005_greedy.cpp,200000,253583,267,4073,True,2000.0,3.215,EXPLOIT_FAILED,"Context Window Exhausted: Target required 253,583 direct tokens for N=200,000, but output truncated at 4,073 tokens (~3,212 integers). Premature EOF caused exit in 3.215ms."
CONSTRUCTIVE,victim_006_adhoc.cpp,200007,254919,279,4085,True,2000.0,11.6,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,919 direct tokens for N=200,007, but output truncated at 4,085 tokens (~3,205 integers). Premature EOF caused exit in 11.6ms."
MATHEMATICS,victim_007_math.cpp,100000,124777,299,4090,True,1000.0,9.011,EXPLOIT_FAILED,"Context Window Exhausted: Target required 124,777 direct tokens for N=100,000, but output truncated at 4,090 tokens (~3,278 integers). Premature EOF caused exit in 9.011ms."
CONSTRUCTIVE,victim_008_constructive.cpp,200000,253087,268,2843,False,2000.0,2145.3,TLE_ACHIEVED,"Zero-shot prompt emitted descending sequence [N, N-1... 1] for naive QuickSort with pivot=A[0], degrading to O(N^2)."
MATHEMATICS,victim_010_math.cpp,100000,123723,223,4077,True,2000.0,16.148,EXPLOIT_FAILED,"Context Window Exhausted: Target required 123,723 direct tokens for N=100,000, but output truncated at 4,077 tokens (~3,296 integers). Premature EOF caused exit in 16.148ms."
GREEDY,victim_011_greedy.cpp,26,108,318,56,False,1000.0,15.223,EXPLOIT_FAILED,Schema hallucination: emitted 56 tokens but omitted testcase header (T) or graph edge count (M).
GREEDY,victim_012_greedy.cpp,200000,249588,266,4086,True,100.0,14.378,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,588 direct tokens for N=200,000, but output truncated at 4,086 tokens (~3,275 integers). Premature EOF caused exit in 14.378ms."
DYNAMIC PROGRAMMING,victim_013_dp.cpp,2002,2504,258,1205,False,2000.0,1.485,EXPLOIT_FAILED,Uniform random distribution failed to trigger algorithmic worst-case (1.485ms < 2000.0ms).
STRING PROCESSING,victim_014_string.cpp,50,140,325,68,False,1000.0,4.281,EXPLOIT_FAILED,Failed to compute algebraic hash table collisions for std::unordered_map (keys scattered across buckets).
STRING PROCESSING,victim_015_string.cpp,100000,124591,217,4083,True,1000.0,11.795,EXPLOIT_FAILED,"Context Window Exhausted: Target required 124,591 direct tokens for N=100,000, but output truncated at 4,083 tokens (~3,277 integers). Premature EOF caused exit in 11.795ms."
BITMASK,victim_016_bitmask.cpp,1000000,1253737,256,4091,True,2000.0,3.781,EXPLOIT_FAILED,"Context Window Exhausted: Target required 1,253,737 direct tokens for N=1,000,000, but output truncated at 4,091 tokens (~3,263 integers). Premature EOF caused exit in 3.781ms."
MATHEMATICS,victim_017_math.cpp,300010,379873,226,4083,True,2000.0,9.395,EXPLOIT_FAILED,"Context Window Exhausted: Target required 379,873 direct tokens for N=300,010, but output truncated at 4,083 tokens (~3,224 integers). Premature EOF caused exit in 9.395ms."
BRUTEFORCE,victim_018_bruteforce.cpp,100000,124548,215,38,False,1000.0,1250.0,TLE_ACHIEVED,Zero-shot prompt provided upper-bound scalar N=12 triggering unpruned brute-force branch traversal.
MATHEMATICS,victim_019_math.cpp,100005,127337,274,4090,True,2000.0,6.672,EXPLOIT_FAILED,"Context Window Exhausted: Target required 127,337 direct tokens for N=100,005, but output truncated at 4,090 tokens (~3,212 integers). Premature EOF caused exit in 6.672ms."
DYNAMIC PROGRAMMING,victim_020_dp.cpp,200000,248127,344,4085,True,2000.0,17.107,EXPLOIT_FAILED,"Context Window Exhausted: Target required 248,127 direct tokens for N=200,000, but output truncated at 4,085 tokens (~3,292 integers). Premature EOF caused exit in 17.107ms."
DYNAMIC PROGRAMMING,victim_021_dp.cpp,300000,378774,218,4089,True,2000.0,13.3,EXPLOIT_FAILED,"Context Window Exhausted: Target required 378,774 direct tokens for N=300,000, but output truncated at 4,089 tokens (~3,239 integers). Premature EOF caused exit in 13.3ms."
DYNAMIC PROGRAMMING,victim_022_dp.cpp,200000,249837,251,4072,True,2000.0,0.564,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,837 direct tokens for N=200,000, but output truncated at 4,072 tokens (~3,260 integers). Premature EOF caused exit in 0.564ms."
MATHEMATICS,victim_025_math.cpp,100000,127503,306,4084,True,1000.0,15.652,EXPLOIT_FAILED,"Context Window Exhausted: Target required 127,503 direct tokens for N=100,000, but output truncated at 4,084 tokens (~3,203 integers). Premature EOF caused exit in 15.652ms."
CONSTRUCTIVE,victim_026_constructive.cpp,200000,248687,292,4090,True,2000.0,9.668,EXPLOIT_FAILED,"Context Window Exhausted: Target required 248,687 direct tokens for N=200,000, but output truncated at 4,090 tokens (~3,289 integers). Premature EOF caused exit in 9.668ms."
CONSTRUCTIVE,victim_027_adhoc.cpp,200000,252961,263,4093,True,2000.0,14.803,EXPLOIT_FAILED,"Context Window Exhausted: Target required 252,961 direct tokens for N=200,000, but output truncated at 4,093 tokens (~3,236 integers). Premature EOF caused exit in 14.803ms."
GREEDY,victim_030_greedy.cpp,200000,247198,246,4083,True,2000.0,16.361,EXPLOIT_FAILED,"Context Window Exhausted: Target required 247,198 direct tokens for N=200,000, but output truncated at 4,083 tokens (~3,303 integers). Premature EOF caused exit in 16.361ms."
MATHEMATICS,victim_032_math.cpp,200000,253137,266,4086,True,2000.0,6.814,EXPLOIT_FAILED,"Context Window Exhausted: Target required 253,137 direct tokens for N=200,000, but output truncated at 4,086 tokens (~3,228 integers). Premature EOF caused exit in 6.814ms."
